"FSM","0000001","20240310|152534","20240304_1957312_087282_043237","R12_0_M15 Poitiers (FRA)","Papamalamis","Salle","|K|0.534161|EK|G||OL1|2.0586|EOL1|OL2|2.35425|EOL2|OH1|188|EOH1|OH2|215|EOH2|EG|NA|NOT|ENA||AH-5.5|5.38|6.342|1.595|1.88|AH-5|5.38|6.342|1.801|2.123|AH-4|3.881|4.575|2.044|2.41|AH-3.5|3.088|3.641|2.044|2.41|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.593|2.3|2.986|4.311|AH4|1.593|2.3|3.82|5.515|AH4.5|1.427|2.06|3.82|5.515|AH5|1.427|2.06|5.175|7.471|AH5.5|1.3|1.877|5.175|7.471||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","","https://www.oddsportal.com/tennis/france/itf-m15-poitiers-men/papamalamis-theo-salle-fabien-GG6CFWzP/","","","","","","","","","","","","","","","","G"
"SM","0000004","20240310|152559","20240304_1937006_005992_071221","R06_3_BNP Paribas Open - Indian Wells (USA)","Djokovic","Nardi","|K|0.955587|EK|G||OL1|1.155|EOL1|OL2|24.7044|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.1655|ENAOL1|NAOL2|24.7044|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|1000|1000|2.048|2.415|AH-5|1000|1000|2.94|3.466|AH-4|1000|1000|4.646|5.477|AH-3.5|1000|1000|4.646|5.477|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|10390|15000|AH4|1000|1000|10390|15000|AH4.5|1000|1000|10390|15000|AH5|1000|1000|10390|15000|AH5.5|1000|1000|10390|15000||EAH||AHS||K-1.5|1.63361|7|3.34109|7|EK-1.5||K21|4.14147|7|7.93096|1|EK21||K1.5|1.51|7|11300|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/atp-indian-wells/djokovic-novak-nardi-luca-relhZDoJ/","","","","","","1.02","17.0","1.02","19.57","","","","","","",""
"SM","0000005","20240310|152623","20240304_1937006_029932_052721","R06_3_BNP Paribas Open - Indian Wells (USA)","Fritz","Baez","|K|0.795111|EK|G||OL1|1.386|EOL1|OL2|5.36433|EOL2|OH1|1.701|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3986|ENAOL1|NAOL2|5.36433|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|1000|1000|1.876|2.212|AH-5|1000|1000|2.414|2.845|AH-4|1000|1000|3.023|3.564|AH-3.5|1000|1000|3.023|3.564|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|10.287|14.851|AH4|1000|1000|22.564|32.575|AH4.5|1000|1000|22.564|32.575|AH5|1000|1000|45.81|66.135|AH5.5|1000|1000|45.81|66.135||EAH||AHS||K-1.5|2.16149|7|2.15837|7|EK-1.5||K21|4.32937|7|7.4329|1|EK21||K1.5|1.51|7|11.1127|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-indian-wells/fritz-taylor-baez-sebastian-OUZ3xPeq/#ah;2;-4.50;2","-4.5","1.85","2.02","","","1.88","1.9","1.88","2.02","","","","","","",""
"SM","0000005","20240310|152625","20240304_1937006_029932_052721","R06_3_BNP Paribas Open - Indian Wells (USA)","Fritz","Baez","|K|0.795111|EK|G||OL1|1.386|EOL1|OL2|5.36433|EOL2|OH1|1.701|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3986|ENAOL1|NAOL2|5.36433|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|1000|1000|1.876|2.212|AH-5|1000|1000|2.414|2.845|AH-4|1000|1000|3.023|3.564|AH-3.5|1000|1000|3.023|3.564|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|10.287|14.851|AH4|1000|1000|22.564|32.575|AH4.5|1000|1000|22.564|32.575|AH5|1000|1000|45.81|66.135|AH5.5|1000|1000|45.81|66.135||EAH||AHS||K-1.5|2.16149|7|2.15837|7|EK-1.5||K21|4.32937|7|7.4329|1|EK21||K1.5|1.51|7|11.1127|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-indian-wells/fritz-taylor-baez-sebastian-OUZ3xPeq/#ah;2;-5.50;2","-5.5","2.49","1.58","","","","","2.49","1.58","","","","","","",""
"SM","0000005","20240310|152628","20240304_1937006_029932_052721","R06_3_BNP Paribas Open - Indian Wells (USA)","Fritz","Baez","|K|0.795111|EK|G||OL1|1.386|EOL1|OL2|5.36433|EOL2|OH1|1.701|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3986|ENAOL1|NAOL2|5.36433|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|1000|1000|1.876|2.212|AH-5|1000|1000|2.414|2.845|AH-4|1000|1000|3.023|3.564|AH-3.5|1000|1000|3.023|3.564|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|10.287|14.851|AH4|1000|1000|22.564|32.575|AH4.5|1000|1000|22.564|32.575|AH5|1000|1000|45.81|66.135|AH5.5|1000|1000|45.81|66.135||EAH||AHS||K-1.5|2.16149|7|2.15837|7|EK-1.5||K21|4.32937|7|7.4329|1|EK21||K1.5|1.51|7|11.1127|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/atp-indian-wells/fritz-taylor-baez-sebastian-OUZ3xPeq/#ah;2;1.50;1","1.5","1.09","8.93","","","1.07","9.0","1.09","9.0","","","","","","",""
"SM","0000005","20240310|152627","20240304_1937006_029932_052721","R06_3_BNP Paribas Open - Indian Wells (USA)","Fritz","Baez","|K|0.795111|EK|G||OL1|1.386|EOL1|OL2|5.36433|EOL2|OH1|1.701|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3986|ENAOL1|NAOL2|5.36433|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|1000|1000|1.876|2.212|AH-5|1000|1000|2.414|2.845|AH-4|1000|1000|3.023|3.564|AH-3.5|1000|1000|3.023|3.564|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|10.287|14.851|AH4|1000|1000|22.564|32.575|AH4.5|1000|1000|22.564|32.575|AH5|1000|1000|45.81|66.135|AH5.5|1000|1000|45.81|66.135||EAH||AHS||K-1.5|2.16149|7|2.15837|7|EK-1.5||K21|4.32937|7|7.4329|1|EK21||K1.5|1.51|7|11.1127|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/atp-indian-wells/fritz-taylor-baez-sebastian-OUZ3xPeq/#ah;2;-1.50;1","-1.5","1.76","2.14","","","1.65","2.2","1.76","2.2","","","","","","",""
"SM","0000005","20240310|152615","20240304_1937006_029932_052721","R06_3_BNP Paribas Open - Indian Wells (USA)","Fritz","Baez","|K|0.795111|EK|G||OL1|1.386|EOL1|OL2|5.36433|EOL2|OH1|1.701|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3986|ENAOL1|NAOL2|5.36433|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|1000|1000|1.876|2.212|AH-5|1000|1000|2.414|2.845|AH-4|1000|1000|3.023|3.564|AH-3.5|1000|1000|3.023|3.564|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1000|1000|10.287|14.851|AH4|1000|1000|22.564|32.575|AH4.5|1000|1000|22.564|32.575|AH5|1000|1000|45.81|66.135|AH5.5|1000|1000|45.81|66.135||EAH||AHS||K-1.5|2.16149|7|2.15837|7|EK-1.5||K21|4.32937|7|7.4329|1|EK21||K1.5|1.51|7|11.1127|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/atp-indian-wells/fritz-taylor-baez-sebastian-OUZ3xPeq/","","1.22","4.74","","","1.2","4.6","1.22","4.74","","","","","","",""
"SM","0000006","20240310|152640","20240304_1937006_022807_042451","R06_3_BNP Paribas Open - Indian Wells (USA)","Medvedev","Korda","|K|0.713723|EK|G||OL1|1.551|EOL1|OL2|3.8395|EOL2|OH1|1.9035|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.5651|ENAOL1|NAOL2|3.8395|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.328|5.103|1000|1000|AH-5|4.328|5.103|1000|1000|AH-4|2.894|3.412|1000|1000|AH-3.5|2.232|2.631|1000|1000|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.233|1.779|1000|1000|AH4|1.233|1.779|1000|1000|AH4.5|1.175|1.697|1000|1000|AH5|1.175|1.697|1000|1000|AH5.5|1.148|1.657|1000|1000||EAH||AHS||K-1.5|2.37579|7|1.96427|7|EK-1.5||K21|4.70422|7|6.99102|1|EK21||K1.5|1.51|7|7.07317|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-indian-wells/medvedev-daniil-korda-sebastian-On14zbg8/#ah;2;-3.50;2","-3.5","1.85","2.02","","","1.79","2.0","1.85","2.02","","","","","","",""
"SM","0000006","20240310|152641","20240304_1937006_022807_042451","R06_3_BNP Paribas Open - Indian Wells (USA)","Medvedev","Korda","|K|0.713723|EK|G||OL1|1.551|EOL1|OL2|3.8395|EOL2|OH1|1.9035|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.5651|ENAOL1|NAOL2|3.8395|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.328|5.103|1000|1000|AH-5|4.328|5.103|1000|1000|AH-4|2.894|3.412|1000|1000|AH-3.5|2.232|2.631|1000|1000|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.233|1.779|1000|1000|AH4|1.233|1.779|1000|1000|AH4.5|1.175|1.697|1000|1000|AH5|1.175|1.697|1000|1000|AH5.5|1.148|1.657|1000|1000||EAH||AHS||K-1.5|2.37579|7|1.96427|7|EK-1.5||K21|4.70422|7|6.99102|1|EK21||K1.5|1.51|7|7.07317|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/usa/atp-indian-wells/medvedev-daniil-korda-sebastian-On14zbg8/#ah;2;-4.50;2","-4.5","2.32","1.66","","","","","2.32","1.66","","","","","","",""
"SM","0000006","20240310|152645","20240304_1937006_022807_042451","R06_3_BNP Paribas Open - Indian Wells (USA)","Medvedev","Korda","|K|0.713723|EK|G||OL1|1.551|EOL1|OL2|3.8395|EOL2|OH1|1.9035|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.5651|ENAOL1|NAOL2|3.8395|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.328|5.103|1000|1000|AH-5|4.328|5.103|1000|1000|AH-4|2.894|3.412|1000|1000|AH-3.5|2.232|2.631|1000|1000|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.233|1.779|1000|1000|AH4|1.233|1.779|1000|1000|AH4.5|1.175|1.697|1000|1000|AH5|1.175|1.697|1000|1000|AH5.5|1.148|1.657|1000|1000||EAH||AHS||K-1.5|2.37579|7|1.96427|7|EK-1.5||K21|4.70422|7|6.99102|1|EK21||K1.5|1.51|7|7.07317|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/atp-indian-wells/medvedev-daniil-korda-sebastian-On14zbg8/#ah;2;1.50;1","1.5","1.16","5.76","","","1.14","5.8","1.16","5.8","","","","","","",""
"SM","0000006","20240310|152643","20240304_1937006_022807_042451","R06_3_BNP Paribas Open - Indian Wells (USA)","Medvedev","Korda","|K|0.713723|EK|G||OL1|1.551|EOL1|OL2|3.8395|EOL2|OH1|1.9035|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.5651|ENAOL1|NAOL2|3.8395|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.328|5.103|1000|1000|AH-5|4.328|5.103|1000|1000|AH-4|2.894|3.412|1000|1000|AH-3.5|2.232|2.631|1000|1000|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.233|1.779|1000|1000|AH4|1.233|1.779|1000|1000|AH4.5|1.175|1.697|1000|1000|AH5|1.175|1.697|1000|1000|AH5.5|1.148|1.657|1000|1000||EAH||AHS||K-1.5|2.37579|7|1.96427|7|EK-1.5||K21|4.70422|7|6.99102|1|EK21||K1.5|1.51|7|7.07317|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/usa/atp-indian-wells/medvedev-daniil-korda-sebastian-On14zbg8/#ah;2;-1.50;1","-1.5","2.09","1.8","","","2.0","1.8","2.09","1.8","","","","","","",""
"SM","0000006","20240310|152632","20240304_1937006_022807_042451","R06_3_BNP Paribas Open - Indian Wells (USA)","Medvedev","Korda","|K|0.713723|EK|G||OL1|1.551|EOL1|OL2|3.8395|EOL2|OH1|1.9035|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.5651|ENAOL1|NAOL2|3.8395|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA||AH-5.5|4.328|5.103|1000|1000|AH-5|4.328|5.103|1000|1000|AH-4|2.894|3.412|1000|1000|AH-3.5|2.232|2.631|1000|1000|AH-3|1000|1000|1000|1000|AH-2.5|1000|1000|1000|1000|AH-2|1000|1000|1000|1000|AH-1.5|1000|1000|1000|1000||AH1.5|1000|1000|1000|1000|AH2|1000|1000|1000|1000|AH2.5|1000|1000|1000|1000|AH3|1000|1000|1000|1000|AH3.5|1.233|1.779|1000|1000|AH4|1.233|1.779|1000|1000|AH4.5|1.175|1.697|1000|1000|AH5|1.175|1.697|1000|1000|AH5.5|1.148|1.657|1000|1000||EAH||AHS||K-1.5|2.37579|7|1.96427|7|EK-1.5||K21|4.70422|7|6.99102|1|EK21||K1.5|1.51|7|7.07317|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/usa/atp-indian-wells/medvedev-daniil-korda-sebastian-On14zbg8/","","1.39","3.19","","","1.36","3.2","1.39","3.2","","","","","","",""
