"DM","0000013","20240327|133852","20240318_1937109_109883_088731","R09_3_Miami Open - Miami (USA)","Melo/Roger-Vasselin","Dodig/Krajicek","|K|0.404272|EK|G||OL1|2.5668|EOL1|OL2|1.8228|EOL2|OH1|1|EOH1|OH2|168|EOH2|EG|NA||NAOL1|2.7032|ENAOL1|NAOL2|1.9068|ENAOL2|NAVE1|-5|ENAVE1|NAVE2|-2|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/atp-miami-doubles/melo-marcelo-roger-vasselin-edouard-dodig-ivan-krajicek-austin-QNFUCr2E/","","2.4","1.57","","","2.4","1.53","2.4","1.57","","","","","","",""
"CSM","0000016","20240327|133944","20240325_1956505_071174_022323","R05_1_San Luis Potosi Challenger (MEX)","Mpetshi Perricard","Cid Subervi","|K|0.75787|EK|G||OL1|1.3926|EOL1|OL2|4.4091|EOL2|OH1|132|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3926|ENAOL1|NAOL2|4.5954|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|3.206|302.468|AH-2.5|1000|1000|3.206|302.468|AH-2|1000|1000|3.93|370.773|AH-1.5|1000|1000|3.93|370.773||AH1.5|1000|1000|6.331|575.549|AH2|1000|1000|8.438|767.081|AH2.5|1000|1000|8.438|767.081|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.14288|6|2.18528|6|EK-1.5||K21|4.26855|6|7.45027|1|EK21||K1.5|1.54|6|11.5236|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/san-luis-potosi-challenger-men/mpetshi-perricard-giovanni-cid-subervi-roberto-EoX6gf1g/#ah;2;-2.50;2","-2.5","1.78","2.06","","","","","1.78","2.06","","","","","","",""
"CSM","0000016","20240327|133945","20240325_1956505_071174_022323","R05_1_San Luis Potosi Challenger (MEX)","Mpetshi Perricard","Cid Subervi","|K|0.75787|EK|G||OL1|1.3926|EOL1|OL2|4.4091|EOL2|OH1|132|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3926|ENAOL1|NAOL2|4.5954|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|3.206|302.468|AH-2.5|1000|1000|3.206|302.468|AH-2|1000|1000|3.93|370.773|AH-1.5|1000|1000|3.93|370.773||AH1.5|1000|1000|6.331|575.549|AH2|1000|1000|8.438|767.081|AH2.5|1000|1000|8.438|767.081|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.14288|6|2.18528|6|EK-1.5||K21|4.26855|6|7.45027|1|EK21||K1.5|1.54|6|11.5236|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/san-luis-potosi-challenger-men/mpetshi-perricard-giovanni-cid-subervi-roberto-EoX6gf1g/#ah;2;-3.50;2","-3.5","2.22","1.68","","","","","2.22","1.68","","","","","","",""
"CSM","0000016","20240327|133950","20240325_1956505_071174_022323","R05_1_San Luis Potosi Challenger (MEX)","Mpetshi Perricard","Cid Subervi","|K|0.75787|EK|G||OL1|1.3926|EOL1|OL2|4.4091|EOL2|OH1|132|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3926|ENAOL1|NAOL2|4.5954|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|3.206|302.468|AH-2.5|1000|1000|3.206|302.468|AH-2|1000|1000|3.93|370.773|AH-1.5|1000|1000|3.93|370.773||AH1.5|1000|1000|6.331|575.549|AH2|1000|1000|8.438|767.081|AH2.5|1000|1000|8.438|767.081|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.14288|6|2.18528|6|EK-1.5||K21|4.26855|6|7.45027|1|EK21||K1.5|1.54|6|11.5236|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/mexico/san-luis-potosi-challenger-men/mpetshi-perricard-giovanni-cid-subervi-roberto-EoX6gf1g/#ah;2;1.50;1","1.5","1.15","5.77","","","","","1.15","5.77","","","","","","",""
"CSM","0000016","20240327|133947","20240325_1956505_071174_022323","R05_1_San Luis Potosi Challenger (MEX)","Mpetshi Perricard","Cid Subervi","|K|0.75787|EK|G||OL1|1.3926|EOL1|OL2|4.4091|EOL2|OH1|132|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3926|ENAOL1|NAOL2|4.5954|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|3.206|302.468|AH-2.5|1000|1000|3.206|302.468|AH-2|1000|1000|3.93|370.773|AH-1.5|1000|1000|3.93|370.773||AH1.5|1000|1000|6.331|575.549|AH2|1000|1000|8.438|767.081|AH2.5|1000|1000|8.438|767.081|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.14288|6|2.18528|6|EK-1.5||K21|4.26855|6|7.45027|1|EK21||K1.5|1.54|6|11.5236|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/mexico/san-luis-potosi-challenger-men/mpetshi-perricard-giovanni-cid-subervi-roberto-EoX6gf1g/#ah;2;-1.50;1","-1.5","2.08","1.77","","","","","2.08","1.77","","","","","","",""
"CSM","0000016","20240327|133935","20240325_1956505_071174_022323","R05_1_San Luis Potosi Challenger (MEX)","Mpetshi Perricard","Cid Subervi","|K|0.75787|EK|G||OL1|1.3926|EOL1|OL2|4.4091|EOL2|OH1|132|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3926|ENAOL1|NAOL2|4.5954|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|3.206|302.468|AH-2.5|1000|1000|3.206|302.468|AH-2|1000|1000|3.93|370.773|AH-1.5|1000|1000|3.93|370.773||AH1.5|1000|1000|6.331|575.549|AH2|1000|1000|8.438|767.081|AH2.5|1000|1000|8.438|767.081|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.14288|6|2.18528|6|EK-1.5||K21|4.26855|6|7.45027|1|EK21||K1.5|1.54|6|11.5236|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/mexico/san-luis-potosi-challenger-men/mpetshi-perricard-giovanni-cid-subervi-roberto-EoX6gf1g/","","1.37","3.12","","","1.36","3.05","1.37","3.12","","","","","","",""
"CSV","0000017","20240327|134001","20240325_1538505_069652_032633","R05_1_San Luis Potosi Open - San Luis Potosi (MEX)","Andreeva","Stefanini","|K|0.74933|EK|G||OL1|1.4271|EOL1|OL2|4.08975|EOL2|OH1|1.876|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|2.204|215.283|1.912|186.743|AH-5|2.204|215.283|2.395|233.872|AH-4|1.789|174.698|3.019|294.863|AH-3.5|1.549|151.318|3.019|294.863|AH-3|1.549|151.318|3.704|361.757|AH-2.5|1.415|138.203|3.704|361.757|AH-2|1.415|138.203|3.896|380.44|AH-1.5|1.389|135.658|3.896|380.44||AH1.5|1.278|122.513|5.676|544.18|AH2|1.278|122.513|6.865|658.24|AH2.5|1.23|117.913|6.865|658.24|AH3|1.23|117.913|7.272|697.216|AH3.5|1.218|116.744|7.272|697.216|AH4|1.218|116.744|9.939|952.881|AH4.5|1.165|111.725|9.939|952.881|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.25588|5.6|2.17775|5.6|EK-1.5||K21|5.11739|5.6|8.79543|1|EK21||K1.5|1.5|1|8.81441|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/san-luis-potosi-challenger-women/andreeva-erika-stefanini-lucrezia-QX6NfUNu/#ah;2;-4.50;2","-4.5","1.84","1.98","","","1.79","1.98","1.84","1.98","","","","","","",""
"CSV","0000017","20240327|134003","20240325_1538505_069652_032633","R05_1_San Luis Potosi Open - San Luis Potosi (MEX)","Andreeva","Stefanini","|K|0.74933|EK|G||OL1|1.4271|EOL1|OL2|4.08975|EOL2|OH1|1.876|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|2.204|215.283|1.912|186.743|AH-5|2.204|215.283|2.395|233.872|AH-4|1.789|174.698|3.019|294.863|AH-3.5|1.549|151.318|3.019|294.863|AH-3|1.549|151.318|3.704|361.757|AH-2.5|1.415|138.203|3.704|361.757|AH-2|1.415|138.203|3.896|380.44|AH-1.5|1.389|135.658|3.896|380.44||AH1.5|1.278|122.513|5.676|544.18|AH2|1.278|122.513|6.865|658.24|AH2.5|1.23|117.913|6.865|658.24|AH3|1.23|117.913|7.272|697.216|AH3.5|1.218|116.744|7.272|697.216|AH4|1.218|116.744|9.939|952.881|AH4.5|1.165|111.725|9.939|952.881|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.25588|5.6|2.17775|5.6|EK-1.5||K21|5.11739|5.6|8.79543|1|EK21||K1.5|1.5|1|8.81441|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/san-luis-potosi-challenger-women/andreeva-erika-stefanini-lucrezia-QX6NfUNu/#ah;2;-5.50;2","-5.5","2.26","1.65","","","","","2.26","1.65","","","","","","",""
"CSV","0000017","20240327|134007","20240325_1538505_069652_032633","R05_1_San Luis Potosi Open - San Luis Potosi (MEX)","Andreeva","Stefanini","|K|0.74933|EK|G||OL1|1.4271|EOL1|OL2|4.08975|EOL2|OH1|1.876|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|2.204|215.283|1.912|186.743|AH-5|2.204|215.283|2.395|233.872|AH-4|1.789|174.698|3.019|294.863|AH-3.5|1.549|151.318|3.019|294.863|AH-3|1.549|151.318|3.704|361.757|AH-2.5|1.415|138.203|3.704|361.757|AH-2|1.415|138.203|3.896|380.44|AH-1.5|1.389|135.658|3.896|380.44||AH1.5|1.278|122.513|5.676|544.18|AH2|1.278|122.513|6.865|658.24|AH2.5|1.23|117.913|6.865|658.24|AH3|1.23|117.913|7.272|697.216|AH3.5|1.218|116.744|7.272|697.216|AH4|1.218|116.744|9.939|952.881|AH4.5|1.165|111.725|9.939|952.881|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.25588|5.6|2.17775|5.6|EK-1.5||K21|5.11739|5.6|8.79543|1|EK21||K1.5|1.5|1|8.81441|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/mexico/san-luis-potosi-challenger-women/andreeva-erika-stefanini-lucrezia-QX6NfUNu/#ah;2;1.50;1","1.5","1.12","6.56","","","1.12","6.25","1.12","6.56","","","","","","",""
"CSV","0000017","20240327|134005","20240325_1538505_069652_032633","R05_1_San Luis Potosi Open - San Luis Potosi (MEX)","Andreeva","Stefanini","|K|0.74933|EK|G||OL1|1.4271|EOL1|OL2|4.08975|EOL2|OH1|1.876|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|2.204|215.283|1.912|186.743|AH-5|2.204|215.283|2.395|233.872|AH-4|1.789|174.698|3.019|294.863|AH-3.5|1.549|151.318|3.019|294.863|AH-3|1.549|151.318|3.704|361.757|AH-2.5|1.415|138.203|3.704|361.757|AH-2|1.415|138.203|3.896|380.44|AH-1.5|1.389|135.658|3.896|380.44||AH1.5|1.278|122.513|5.676|544.18|AH2|1.278|122.513|6.865|658.24|AH2.5|1.23|117.913|6.865|658.24|AH3|1.23|117.913|7.272|697.216|AH3.5|1.218|116.744|7.272|697.216|AH4|1.218|116.744|9.939|952.881|AH4.5|1.165|111.725|9.939|952.881|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.25588|5.6|2.17775|5.6|EK-1.5||K21|5.11739|5.6|8.79543|1|EK21||K1.5|1.5|1|8.81441|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/mexico/san-luis-potosi-challenger-women/andreeva-erika-stefanini-lucrezia-QX6NfUNu/#ah;2;-1.50;1","-1.5","1.83","1.99","","","1.82","1.95","1.83","1.99","","","","","","",""
"CSV","0000017","20240327|133954","20240325_1538505_069652_032633","R05_1_San Luis Potosi Open - San Luis Potosi (MEX)","Andreeva","Stefanini","|K|0.74933|EK|G||OL1|1.4271|EOL1|OL2|4.08975|EOL2|OH1|1.876|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|2.204|215.283|1.912|186.743|AH-5|2.204|215.283|2.395|233.872|AH-4|1.789|174.698|3.019|294.863|AH-3.5|1.549|151.318|3.019|294.863|AH-3|1.549|151.318|3.704|361.757|AH-2.5|1.415|138.203|3.704|361.757|AH-2|1.415|138.203|3.896|380.44|AH-1.5|1.389|135.658|3.896|380.44||AH1.5|1.278|122.513|5.676|544.18|AH2|1.278|122.513|6.865|658.24|AH2.5|1.23|117.913|6.865|658.24|AH3|1.23|117.913|7.272|697.216|AH3.5|1.218|116.744|7.272|697.216|AH4|1.218|116.744|9.939|952.881|AH4.5|1.165|111.725|9.939|952.881|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.25588|5.6|2.17775|5.6|EK-1.5||K21|5.11739|5.6|8.79543|1|EK21||K1.5|1.5|1|8.81441|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/mexico/san-luis-potosi-challenger-women/andreeva-erika-stefanini-lucrezia-QX6NfUNu/","","1.32","3.45","","","1.29","3.55","1.32","3.55","","","","","","",""
"CSV","0000018","20240327|134019","20240325_1538505_023430_012570","R05_1_San Luis Potosi Open - San Luis Potosi (MEX)","You","Pigossi","|K|0.296465|EK|G||OL1|3.4645|EOL1|OL2|1.52295|EOL2|OH1|1|EOH1|OH2|2.002|EOH2|EG|NA|NOT|ENA||AH-5.5|6.956|679.294|1.201|117.262|AH-5|6.956|679.294|1.238|120.872|AH-4|5.93|579.105|1.286|125.568|AH-3.5|5.029|491.11|1.286|125.568|AH-3|5.029|491.11|1.323|129.247|AH-2.5|4.525|441.918|1.323|129.247|AH-2|4.525|441.918|1.319|128.814|AH-1.5|4.578|447.053|1.319|128.814||AH1.5|3.97|380.606|1.415|135.637|AH2|3.97|380.606|1.476|141.506|AH2.5|3.556|340.929|1.476|141.506|AH3|3.556|340.929|1.532|146.88|AH3.5|3.268|313.313|1.532|146.88|AH4|3.268|313.313|1.913|183.445|AH4.5|2.293|219.839|1.913|183.445|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|6.39628|1|1.5|1|EK-1.5||K21|11.9516|1|4.97297|5.6|EK21||K1.5|2.07013|5.6|2.36586|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/san-luis-potosi-challenger-women/you-xiaodi-pigossi-laura-CKkebqmL/#ah;2;4.50;2","4.5","2.07","1.78","","","1.88","1.89","2.07","1.89","","","","","","",""
"CSV","0000018","20240327|134021","20240325_1538505_023430_012570","R05_1_San Luis Potosi Open - San Luis Potosi (MEX)","You","Pigossi","|K|0.296465|EK|G||OL1|3.4645|EOL1|OL2|1.52295|EOL2|OH1|1|EOH1|OH2|2.002|EOH2|EG|NA|NOT|ENA||AH-5.5|6.956|679.294|1.201|117.262|AH-5|6.956|679.294|1.238|120.872|AH-4|5.93|579.105|1.286|125.568|AH-3.5|5.029|491.11|1.286|125.568|AH-3|5.029|491.11|1.323|129.247|AH-2.5|4.525|441.918|1.323|129.247|AH-2|4.525|441.918|1.319|128.814|AH-1.5|4.578|447.053|1.319|128.814||AH1.5|3.97|380.606|1.415|135.637|AH2|3.97|380.606|1.476|141.506|AH2.5|3.556|340.929|1.476|141.506|AH3|3.556|340.929|1.532|146.88|AH3.5|3.268|313.313|1.532|146.88|AH4|3.268|313.313|1.913|183.445|AH4.5|2.293|219.839|1.913|183.445|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|6.39628|1|1.5|1|EK-1.5||K21|11.9516|1|4.97297|5.6|EK21||K1.5|2.07013|5.6|2.36586|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/mexico/san-luis-potosi-challenger-women/you-xiaodi-pigossi-laura-CKkebqmL/#ah;2;3.50;2","3.5","2.33","1.62","","","","","2.33","1.62","","","","","","",""
"CSV","0000018","20240327|134026","20240325_1538505_023430_012570","R05_1_San Luis Potosi Open - San Luis Potosi (MEX)","You","Pigossi","|K|0.296465|EK|G||OL1|3.4645|EOL1|OL2|1.52295|EOL2|OH1|1|EOH1|OH2|2.002|EOH2|EG|NA|NOT|ENA||AH-5.5|6.956|679.294|1.201|117.262|AH-5|6.956|679.294|1.238|120.872|AH-4|5.93|579.105|1.286|125.568|AH-3.5|5.029|491.11|1.286|125.568|AH-3|5.029|491.11|1.323|129.247|AH-2.5|4.525|441.918|1.323|129.247|AH-2|4.525|441.918|1.319|128.814|AH-1.5|4.578|447.053|1.319|128.814||AH1.5|3.97|380.606|1.415|135.637|AH2|3.97|380.606|1.476|141.506|AH2.5|3.556|340.929|1.476|141.506|AH3|3.556|340.929|1.532|146.88|AH3.5|3.268|313.313|1.532|146.88|AH4|3.268|313.313|1.913|183.445|AH4.5|2.293|219.839|1.913|183.445|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|6.39628|1|1.5|1|EK-1.5||K21|11.9516|1|4.97297|5.6|EK21||K1.5|2.07013|5.6|2.36586|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/mexico/san-luis-potosi-challenger-women/you-xiaodi-pigossi-laura-CKkebqmL/#ah;2;1.50;1","1.5","1.99","1.84","","","1.86","1.9","1.99","1.9","","","","","","",""
"CSV","0000018","20240327|134023","20240325_1538505_023430_012570","R05_1_San Luis Potosi Open - San Luis Potosi (MEX)","You","Pigossi","|K|0.296465|EK|G||OL1|3.4645|EOL1|OL2|1.52295|EOL2|OH1|1|EOH1|OH2|2.002|EOH2|EG|NA|NOT|ENA||AH-5.5|6.956|679.294|1.201|117.262|AH-5|6.956|679.294|1.238|120.872|AH-4|5.93|579.105|1.286|125.568|AH-3.5|5.029|491.11|1.286|125.568|AH-3|5.029|491.11|1.323|129.247|AH-2.5|4.525|441.918|1.323|129.247|AH-2|4.525|441.918|1.319|128.814|AH-1.5|4.578|447.053|1.319|128.814||AH1.5|3.97|380.606|1.415|135.637|AH2|3.97|380.606|1.476|141.506|AH2.5|3.556|340.929|1.476|141.506|AH3|3.556|340.929|1.532|146.88|AH3.5|3.268|313.313|1.532|146.88|AH4|3.268|313.313|1.913|183.445|AH4.5|2.293|219.839|1.913|183.445|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|6.39628|1|1.5|1|EK-1.5||K21|11.9516|1|4.97297|5.6|EK21||K1.5|2.07013|5.6|2.36586|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/mexico/san-luis-potosi-challenger-women/you-xiaodi-pigossi-laura-CKkebqmL/#ah;2;-1.50;1","-1.5","5.54","1.15","","","5.75","1.14","5.75","1.15","","","","","","",""
"CSV","0000018","20240327|134011","20240325_1538505_023430_012570","R05_1_San Luis Potosi Open - San Luis Potosi (MEX)","You","Pigossi","|K|0.296465|EK|G||OL1|3.4645|EOL1|OL2|1.52295|EOL2|OH1|1|EOH1|OH2|2.002|EOH2|EG|NA|NOT|ENA||AH-5.5|6.956|679.294|1.201|117.262|AH-5|6.956|679.294|1.238|120.872|AH-4|5.93|579.105|1.286|125.568|AH-3.5|5.029|491.11|1.286|125.568|AH-3|5.029|491.11|1.323|129.247|AH-2.5|4.525|441.918|1.323|129.247|AH-2|4.525|441.918|1.319|128.814|AH-1.5|4.578|447.053|1.319|128.814||AH1.5|3.97|380.606|1.415|135.637|AH2|3.97|380.606|1.476|141.506|AH2.5|3.556|340.929|1.476|141.506|AH3|3.556|340.929|1.532|146.88|AH3.5|3.268|313.313|1.532|146.88|AH4|3.268|313.313|1.913|183.445|AH4.5|2.293|219.839|1.913|183.445|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|6.39628|1|1.5|1|EK-1.5||K21|11.9516|1|4.97297|5.6|EK21||K1.5|2.07013|5.6|2.36586|5.6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/mexico/san-luis-potosi-challenger-women/you-xiaodi-pigossi-laura-CKkebqmL/","","3.18","1.36","","","3.25","1.33","3.25","1.36","","","","","","",""
