"FDM","0000001","20240421|171025","20240415_1966712_102097_110427","R12_0_SRB_M15 Kursumlijska Banja","Jovic/Juhas","Cazacu/Sueoka","|K|0.689823|EK|G||OL1|1.48915|EOL1|OL2|3.3915|EOL2|OH1|145|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/serbia/itf-m15-kursumlijska-banja-men-doubles/viktor-jovic-juhas-kristijan-cazacu-dragos-nicolae-sueoka-yamato-GbqsTGDG/","","","","","","","","1.44","2.3","","","","","","",""
"FDV","0000002","20240421|171028","20240415_1542012_093266_090536","R12_0_SRB_W15 Kursumlijska Banja","Marinkovic/Terziyska","De Koning/Hageman","|K|0.497574|EK|G||OL1|2.08035|EOL1|OL2|2.07|EOL2|OH1|201|EOH1|OH2|200|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/serbia/itf-w15-kursumlijska-banja-women-doubles/marinkovic-bojana-terziyska-julia-de-koning-rikke-madelief-hageman-f9t38KL5/","","","","","","","","","","","","","","","",""
"CDM","0000003","20240421|171032","20240422_1964004_106593_110463","R04_1_CHN_Shenzhen 1 Challenger","Bellucci/Echargui","Marchenko/Yevseyev","|K|0.655311|EK|G||OL1|1.54056|EOL1|OL2|2.95947|EOL2|OH1|2.295|EOH1|OH2|291|EOH2|EG|NA||NAOL1|1.68759|ENAOL1|NAOL2|3.15153|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/china/shenzhen-3-challenger-men-doubles/bellucci-mattia-echargui-moez-marchenko-illya-yevseyev-denis-p21ookZ1/","","","","","","","","","","","","","","","",""
"CDM","0000004","20240421|171036","20240422_1964004_103878_070325","R04_1_CHN_Shenzhen 1 Challenger","Matuszewski/Romios","Alcantara/Sun","|K|0.591725|EK|G||OL1|1.70166|EOL1|OL2|2.49165|EOL2|OH1|2.535|EOH1|OH2|245|EOH2|EG|NA||NAOL1|1.86407|ENAOL1|NAOL2|2.65335|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/china/shenzhen-3-challenger-men-doubles/matuszewski-piotr-romios-matthew-christopher-alcantara-francis-casey-sun-fajing-xdlX8hR8/","","","","","","","","1.66","2.08","","","","","","",""
"CDM","0000005","20240421|171039","20240422_1964004_105502_089873","R04_1_CHN_Shenzhen 1 Challenger","Saville/Tu","Ellis/Schoolkate","|K|0.418299|EK|G||OL1|2.4408|EOL1|OL2|1.73187|EOL2|OH1|240|EOH1|OH2|2.58|EOH2|EG|NA||NAOL1|2.5992|ENAOL1|NAOL2|1.89716|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/china/shenzhen-3-challenger-men-doubles/saville-luke-tu-li-ellis-blake-schoolkate-tristan-dxTcfgCF/","","","","","","","","2.08","1.66","","","","","","",""
"CDM","0000006","20240421|171043","20240422_1964004_110464_075997","R04_1_CHN_Shenzhen 1 Challenger","Shimizu/Trotter","Matsui/Uesugi","|K|0.594823|EK|G||OL1|1.70166|EOL1|OL2|2.51199|EOL2|OH1|2.535|EOH1|OH2|247|EOH2|EG|NA||NAOL1|1.86407|ENAOL1|NAOL2|2.67501|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/china/shenzhen-3-challenger-men-doubles/shimizu-yuta-trotter-james-kent-matsui-toshihide-uesugi-kaito-IiH6hXtS/","","","","","","","","2.0","1.72","","","","","","",""
