"FSM","0000037","20240425|090129","20240422_1968005_084556_039851","R05_0_TUR_M15 Antalya","Isomura","Aksu","|K|0.691229|EK|G||OL1|1.5428|EOL1|OL2|3.31776|EOL2|OH1|145|EOH1|OH2|4.86|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|204.605|204.605|230.316|230.316|AH-3.5|176.736|176.736|230.316|230.316|AH-3|176.736|176.736|261.434|261.434|AH-2.5|161.945|161.945|261.434|261.434|AH-2|161.945|161.945|286.436|286.436|AH-1.5|153.638|153.638|286.436|286.436||AH1.5|139.606|139.606|352.488|352.488|AH2|139.606|139.606|378.825|378.825|AH2.5|135.865|135.865|378.825|378.825|AH3|135.865|135.865|415.998|415.998|AH3.5|131.646|131.646|415.998|415.998|AH4|131.646|131.646|491.057|491.057|AH4.5|125.572|125.572|491.057|491.057|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-12-men/isomura-kokoro-aksu-cengiz-W0Or5vH0/","","","","","","","","","","","","","","","","G"
"FSM","0000038","20240425|090145","20240422_1968005_047528_067188","R05_0_TUR_M15 Antalya","Slump","Barnat","|K|0.473819|EK|G||OL1|2.25568|EOL1|OL2|2.03224|EOL2|OH1|212|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|300.077|300.077|168.531|168.531|AH-3.5|245.919|245.919|168.531|168.531|AH-3|245.919|245.919|184.05|184.05|AH-2.5|218.976|218.976|184.05|184.05|AH-2|218.976|218.976|194.464|194.464|AH-1.5|205.86|205.86|194.464|194.464||AH1.5|179.512|179.512|225.766|225.766|AH2|179.512|179.512|246.52|246.52|AH2.5|168.25|168.25|246.52|246.52|AH3|168.25|168.25|279.929|279.929|AH3.5|155.577|155.577|279.929|279.929|AH4|155.577|155.577|349.551|349.551|AH4.5|140.072|140.072|349.551|349.551|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-12-men/slump-stijn-barnat-jiri-CAWj3IoD/#ah;2;0.50;2","0.5","","","","","","","1.85","1.85","","","","","","",""
"FSM","0000038","20240425|090144","20240422_1968005_047528_067188","R05_0_TUR_M15 Antalya","Slump","Barnat","|K|0.473819|EK|G||OL1|2.25568|EOL1|OL2|2.03224|EOL2|OH1|212|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|300.077|300.077|168.531|168.531|AH-3.5|245.919|245.919|168.531|168.531|AH-3|245.919|245.919|184.05|184.05|AH-2.5|218.976|218.976|184.05|184.05|AH-2|218.976|218.976|194.464|194.464|AH-1.5|205.86|205.86|194.464|194.464||AH1.5|179.512|179.512|225.766|225.766|AH2|179.512|179.512|246.52|246.52|AH2.5|168.25|168.25|246.52|246.52|AH3|168.25|168.25|279.929|279.929|AH3.5|155.577|155.577|279.929|279.929|AH4|155.577|155.577|349.551|349.551|AH4.5|140.072|140.072|349.551|349.551|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-12-men/slump-stijn-barnat-jiri-CAWj3IoD/#ah;2;-0.50;2","-0.5","","","","","","","1.89","1.81","","","","","","",""
"FSM","0000038","20240425|090149","20240422_1968005_047528_067188","R05_0_TUR_M15 Antalya","Slump","Barnat","|K|0.473819|EK|G||OL1|2.25568|EOL1|OL2|2.03224|EOL2|OH1|212|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|300.077|300.077|168.531|168.531|AH-3.5|245.919|245.919|168.531|168.531|AH-3|245.919|245.919|184.05|184.05|AH-2.5|218.976|218.976|184.05|184.05|AH-2|218.976|218.976|194.464|194.464|AH-1.5|205.86|205.86|194.464|194.464||AH1.5|179.512|179.512|225.766|225.766|AH2|179.512|179.512|246.52|246.52|AH2.5|168.25|168.25|246.52|246.52|AH3|168.25|168.25|279.929|279.929|AH3.5|155.577|155.577|279.929|279.929|AH4|155.577|155.577|349.551|349.551|AH4.5|140.072|140.072|349.551|349.551|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-12-men/slump-stijn-barnat-jiri-CAWj3IoD/#ah;2;1.50;1","1.5","","","","","","","","","","","","","","",""
"FSM","0000038","20240425|090147","20240422_1968005_047528_067188","R05_0_TUR_M15 Antalya","Slump","Barnat","|K|0.473819|EK|G||OL1|2.25568|EOL1|OL2|2.03224|EOL2|OH1|212|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|300.077|300.077|168.531|168.531|AH-3.5|245.919|245.919|168.531|168.531|AH-3|245.919|245.919|184.05|184.05|AH-2.5|218.976|218.976|184.05|184.05|AH-2|218.976|218.976|194.464|194.464|AH-1.5|205.86|205.86|194.464|194.464||AH1.5|179.512|179.512|225.766|225.766|AH2|179.512|179.512|246.52|246.52|AH2.5|168.25|168.25|246.52|246.52|AH3|168.25|168.25|279.929|279.929|AH3.5|155.577|155.577|279.929|279.929|AH4|155.577|155.577|349.551|349.551|AH4.5|140.072|140.072|349.551|349.551|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-12-men/slump-stijn-barnat-jiri-CAWj3IoD/#ah;2;-1.50;1","-1.5","","","","","","","","","","","","","","",""
"FSM","0000038","20240425|090136","20240422_1968005_047528_067188","R05_0_TUR_M15 Antalya","Slump","Barnat","|K|0.473819|EK|G||OL1|2.25568|EOL1|OL2|2.03224|EOL2|OH1|212|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|300.077|300.077|168.531|168.531|AH-3.5|245.919|245.919|168.531|168.531|AH-3|245.919|245.919|184.05|184.05|AH-2.5|218.976|218.976|184.05|184.05|AH-2|218.976|218.976|194.464|194.464|AH-1.5|205.86|205.86|194.464|194.464||AH1.5|179.512|179.512|225.766|225.766|AH2|179.512|179.512|246.52|246.52|AH2.5|168.25|168.25|246.52|246.52|AH3|168.25|168.25|279.929|279.929|AH3.5|155.577|155.577|279.929|279.929|AH4|155.577|155.577|349.551|349.551|AH4.5|140.072|140.072|349.551|349.551|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-12-men/slump-stijn-barnat-jiri-CAWj3IoD/","","","","","","1.85","1.85","1.85","1.85","","","","","","",""
"CDM","0000039","20240425|090152","20240422_1964109_110303_106107","R09_1_CHI_Concepcion Challenger","Britto/Villanueva","Watanabe/Takeru","|K|0.595357|EK|G||OL1|1.69159|EOL1|OL2|2.52216|EOL2|OH1|2.52|EOH1|OH2|248|EOH2|EG|NA||NAOL1|1.85304|ENAOL1|NAOL2|2.68584|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/chile/concepcion-challenger-men-doubles/britto-luis-villanueva-gonzalo-watanabe-seita-takeru-yuzuki-p2B4lspL/","","","","","","","","1.5","2.45","","","","","","",""
"CDM","0000040","20240425|090156","20240422_1964109_110503_110298","R09_1_CHI_Concepcion Challenger","Bueno/Farjat","Stepanov/Urrea","|K|0.623667|EK|G||OL1|1.62111|EOL1|OL2|2.70522|EOL2|OH1|2.415|EOH1|OH2|266|EOH2|EG|NA||NAOL1|1.77583|ENAOL1|NAOL2|2.88078|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/chile/concepcion-challenger-men-doubles/bueno-gonzalo-farjat-tomas-stepanov-roy-urrea-andres-IwzUFYOr/","","","","","","","","1.65","2.25","","","","","","",""
"CDM","0000041","20240425|090200","20240422_1964009_106593_110464","R09_1_CHN_Shenzhen 1 Challenger","Bellucci/Echargui","Shimizu/Trotter","|K|0.395937|EK|G||OL1|2.57301|EOL1|OL2|1.67145|EOL2|OH1|253|EOH1|OH2|2.49|EOH2|EG|NA||NAOL1|2.73999|ENAOL1|NAOL2|1.83098|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/china/shenzhen-3-challenger-men-doubles/bellucci-mattia-echargui-moez-shimizu-yuta-trotter-james-kent-4YUomjB5/","","","","","","","","2.25","1.6","","","","","","",""
"CDM","0000042","20240425|090204","20240422_1963709_108893_110487","R09_1_CZE_Ostrava Challenger","Andreozzi/Reyes-Varela","Jermar/Zelenay","|K|0.810824|EK|G||OL1|1.24856|EOL1|OL2|5.37993|EOL2|OH1|1.86|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.36772|ENAOL1|NAOL2|5.72907|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/czech-republic/ostrava-challenger-men-doubles/andreozzi-guido-reyes-varela-miguel-angel-jermar-jan-zelenay-igor-EXHRxwS9/","","","","","","","","1.05","10.0","","","","","","",""
