"FSM","0000001","20240610|162249","20240610_1980604_103327_019877","R04_0_KOR_M15 Anseong","Park","Moon Lee","|K|0.159047|EK|G||OL1|6.44096|EOL1|OL2|1.26616|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|2192.85|2192.85|109.358|109.358|AH-3.5|1168.58|1168.58|109.358|109.358|AH-3|1168.58|1168.58|112.919|112.919|AH-2.5|874.06|874.06|112.919|112.919|AH-2|874.06|874.06|117.194|117.194|AH-1.5|681.611|681.611|117.194|117.194||AH1.5|455.75|455.75|128.11|128.11|AH2|455.75|455.75|132.503|132.503|AH2.5|407.669|407.669|132.503|132.503|AH3|407.669|407.669|144.405|144.405|AH3.5|325.198|325.198|144.405|144.405|AH4|325.198|325.198|167.538|167.538|AH4.5|248.066|248.066|167.538|167.538|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|1.51|1|1.51|1|EK-1.5||K21|1.51|1|1.51|1|EK21||K1.5|1.51|1|1.51|1|EK1.5||EAHS|","","-","","","","","","","","","","","","","","","",""
"SV","0000004","20240610|162343","20240610_1522804_025062_006933","R04_2_NED_Libema Open - 's-Hertogenbosch","Galfi","Rus","|K|0.515875|EK|G||OL1|1.95746|EOL1|OL2|2.08863|EOL2|OH1|194|EOH1|OH2|207|EOH2|EG|NA||NAOL1|2.11654|ENAOL1|NAOL2|2.25837|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|5.237|6.245|1.377|1.642|AH-5|5.237|6.245|1.621|1.933|AH-4|3.329|3.971|1.858|2.216|AH-3.5|2.637|3.145|1.858|2.216|AH-3|2.637|3.145|2.043|2.436|AH-2.5|2.337|2.787|2.043|2.436|AH-2|2.337|2.787|2.256|2.691|AH-1.5|2.109|2.515|2.256|2.691||AH1.5|1.818|166.011|2.754|251.489|AH2|1.818|166.011|2.875|262.575|AH2.5|1.769|161.51|2.875|262.575|AH3|1.769|161.51|3.302|301.58|AH3.5|1.638|149.608|3.302|301.58|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.92944|5.5|1.46142|1|EK-1.5||K21|6.4114|5.5|6.42093|5.5|EK21||K1.5|1.62211|1|3.17786|5.5|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/netherlands/wta-hertogenbosch/galfi-dalma-rus-arantxa-bVvQtaDd/#ah;2;2.50;2","2.5","","","","","","","1.65","2.1","","","","","","",""
"SV","0000004","20240610|162340","20240610_1522804_025062_006933","R04_2_NED_Libema Open - 's-Hertogenbosch","Galfi","Rus","|K|0.515875|EK|G||OL1|1.95746|EOL1|OL2|2.08863|EOL2|OH1|194|EOH1|OH2|207|EOH2|EG|NA||NAOL1|2.11654|ENAOL1|NAOL2|2.25837|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|5.237|6.245|1.377|1.642|AH-5|5.237|6.245|1.621|1.933|AH-4|3.329|3.971|1.858|2.216|AH-3.5|2.637|3.145|1.858|2.216|AH-3|2.637|3.145|2.043|2.436|AH-2.5|2.337|2.787|2.043|2.436|AH-2|2.337|2.787|2.256|2.691|AH-1.5|2.109|2.515|2.256|2.691||AH1.5|1.818|166.011|2.754|251.489|AH2|1.818|166.011|2.875|262.575|AH2.5|1.769|161.51|2.875|262.575|AH3|1.769|161.51|3.302|301.58|AH3.5|1.638|149.608|3.302|301.58|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.92944|5.5|1.46142|1|EK-1.5||K21|6.4114|5.5|6.42093|5.5|EK21||K1.5|1.62211|1|3.17786|5.5|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/netherlands/wta-hertogenbosch/galfi-dalma-rus-arantxa-bVvQtaDd/#ah;2;1.50;2","1.5","1.83","2.0","","","1.83","1.96","1.83","2.0","","","","","","",""
"SV","0000004","20240610|162348","20240610_1522804_025062_006933","R04_2_NED_Libema Open - 's-Hertogenbosch","Galfi","Rus","|K|0.515875|EK|G||OL1|1.95746|EOL1|OL2|2.08863|EOL2|OH1|194|EOH1|OH2|207|EOH2|EG|NA||NAOL1|2.11654|ENAOL1|NAOL2|2.25837|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|5.237|6.245|1.377|1.642|AH-5|5.237|6.245|1.621|1.933|AH-4|3.329|3.971|1.858|2.216|AH-3.5|2.637|3.145|1.858|2.216|AH-3|2.637|3.145|2.043|2.436|AH-2.5|2.337|2.787|2.043|2.436|AH-2|2.337|2.787|2.256|2.691|AH-1.5|2.109|2.515|2.256|2.691||AH1.5|1.818|166.011|2.754|251.489|AH2|1.818|166.011|2.875|262.575|AH2.5|1.769|161.51|2.875|262.575|AH3|1.769|161.51|3.302|301.58|AH3.5|1.638|149.608|3.302|301.58|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.92944|5.5|1.46142|1|EK-1.5||K21|6.4114|5.5|6.42093|5.5|EK21||K1.5|1.62211|1|3.17786|5.5|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/netherlands/wta-hertogenbosch/galfi-dalma-rus-arantxa-bVvQtaDd/#ah;2;1.50;1","1.5","1.43","2.9","","","1.41","2.85","1.43","2.9","","","","","","",""
"SV","0000004","20240610|162345","20240610_1522804_025062_006933","R04_2_NED_Libema Open - 's-Hertogenbosch","Galfi","Rus","|K|0.515875|EK|G||OL1|1.95746|EOL1|OL2|2.08863|EOL2|OH1|194|EOH1|OH2|207|EOH2|EG|NA||NAOL1|2.11654|ENAOL1|NAOL2|2.25837|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|5.237|6.245|1.377|1.642|AH-5|5.237|6.245|1.621|1.933|AH-4|3.329|3.971|1.858|2.216|AH-3.5|2.637|3.145|1.858|2.216|AH-3|2.637|3.145|2.043|2.436|AH-2.5|2.337|2.787|2.043|2.436|AH-2|2.337|2.787|2.256|2.691|AH-1.5|2.109|2.515|2.256|2.691||AH1.5|1.818|166.011|2.754|251.489|AH2|1.818|166.011|2.875|262.575|AH2.5|1.769|161.51|2.875|262.575|AH3|1.769|161.51|3.302|301.58|AH3.5|1.638|149.608|3.302|301.58|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.92944|5.5|1.46142|1|EK-1.5||K21|6.4114|5.5|6.42093|5.5|EK21||K1.5|1.62211|1|3.17786|5.5|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/netherlands/wta-hertogenbosch/galfi-dalma-rus-arantxa-bVvQtaDd/#ah;2;-1.50;1","-1.5","3.19","1.37","","","3.4","1.32","3.4","1.37","","","","","","",""
"SV","0000004","20240610|162332","20240610_1522804_025062_006933","R04_2_NED_Libema Open - 's-Hertogenbosch","Galfi","Rus","|K|0.515875|EK|G||OL1|1.95746|EOL1|OL2|2.08863|EOL2|OH1|194|EOH1|OH2|207|EOH2|EG|NA||NAOL1|2.11654|ENAOL1|NAOL2|2.25837|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-2|ENAVE2||ENA||AH-5.5|5.237|6.245|1.377|1.642|AH-5|5.237|6.245|1.621|1.933|AH-4|3.329|3.971|1.858|2.216|AH-3.5|2.637|3.145|1.858|2.216|AH-3|2.637|3.145|2.043|2.436|AH-2.5|2.337|2.787|2.043|2.436|AH-2|2.337|2.787|2.256|2.691|AH-1.5|2.109|2.515|2.256|2.691||AH1.5|1.818|166.011|2.754|251.489|AH2|1.818|166.011|2.875|262.575|AH2.5|1.769|161.51|2.875|262.575|AH3|1.769|161.51|3.302|301.58|AH3.5|1.638|149.608|3.302|301.58|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.92944|5.5|1.46142|1|EK-1.5||K21|6.4114|5.5|6.42093|5.5|EK21||K1.5|1.62211|1|3.17786|5.5|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/netherlands/wta-hertogenbosch/galfi-dalma-rus-arantxa-bVvQtaDd/","","2.01","1.83","","","2.04","1.78","2.04","1.84","","","","","","",""
"SV","0000005","20240610|162403","20240610_1522804_010791_014654","R04_2_NED_Libema Open - 's-Hertogenbosch","Krunic","Ponchet","|K|0.428011|EK|G||OL1|2.36106|EOL1|OL2|1.96|EOL2|OH1|234|EOH1|OH2|175|EOH2|EG|NA||NAOL1|2.55294|ENAOL1|NAOL2|1.96|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|8.328|9.933|1.254|1.496|AH-5|8.328|9.933|1.427|1.702|AH-4|4.611|5.499|1.561|1.861|AH-3.5|3.614|4.311|1.561|1.861|AH-3|3.614|4.311|1.634|1.949|AH-2.5|3.274|3.905|1.634|1.949|AH-2|3.274|3.905|1.706|2.034|AH-1.5|3.02|3.601|1.706|2.034||AH1.5|2.413|220.347|2.005|183.093|AH2|2.413|220.347|2.155|196.8|AH2.5|2.226|203.306|2.155|196.8|AH3|2.226|203.306|2.398|218.999|AH3.5|2.015|184.034|2.398|218.999|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.23691|5.5|1.41831|1|EK-1.5||K21|6.92571|5.5|6.28924|5.5|EK21||K1.5|1.70394|1|2.93286|5.5|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/netherlands/wta-hertogenbosch/krunic-aleksandra-ponchet-jessika-23oHrLrp/#ah;2;2.50;2","2.5","1.85","1.97","","","1.81","1.97","1.85","1.97","","","","","","",""
"SV","0000005","20240610|162400","20240610_1522804_010791_014654","R04_2_NED_Libema Open - 's-Hertogenbosch","Krunic","Ponchet","|K|0.428011|EK|G||OL1|2.36106|EOL1|OL2|1.96|EOL2|OH1|234|EOH1|OH2|175|EOH2|EG|NA||NAOL1|2.55294|ENAOL1|NAOL2|1.96|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|8.328|9.933|1.254|1.496|AH-5|8.328|9.933|1.427|1.702|AH-4|4.611|5.499|1.561|1.861|AH-3.5|3.614|4.311|1.561|1.861|AH-3|3.614|4.311|1.634|1.949|AH-2.5|3.274|3.905|1.634|1.949|AH-2|3.274|3.905|1.706|2.034|AH-1.5|3.02|3.601|1.706|2.034||AH1.5|2.413|220.347|2.005|183.093|AH2|2.413|220.347|2.155|196.8|AH2.5|2.226|203.306|2.155|196.8|AH3|2.226|203.306|2.398|218.999|AH3.5|2.015|184.034|2.398|218.999|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.23691|5.5|1.41831|1|EK-1.5||K21|6.92571|5.5|6.28924|5.5|EK21||K1.5|1.70394|1|2.93286|5.5|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/netherlands/wta-hertogenbosch/krunic-aleksandra-ponchet-jessika-23oHrLrp/#ah;2;1.50;2","1.5","2.03","1.81","","","","","2.03","1.81","","","","","","",""
"SV","0000005","20240610|162407","20240610_1522804_010791_014654","R04_2_NED_Libema Open - 's-Hertogenbosch","Krunic","Ponchet","|K|0.428011|EK|G||OL1|2.36106|EOL1|OL2|1.96|EOL2|OH1|234|EOH1|OH2|175|EOH2|EG|NA||NAOL1|2.55294|ENAOL1|NAOL2|1.96|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|8.328|9.933|1.254|1.496|AH-5|8.328|9.933|1.427|1.702|AH-4|4.611|5.499|1.561|1.861|AH-3.5|3.614|4.311|1.561|1.861|AH-3|3.614|4.311|1.634|1.949|AH-2.5|3.274|3.905|1.634|1.949|AH-2|3.274|3.905|1.706|2.034|AH-1.5|3.02|3.601|1.706|2.034||AH1.5|2.413|220.347|2.005|183.093|AH2|2.413|220.347|2.155|196.8|AH2.5|2.226|203.306|2.155|196.8|AH3|2.226|203.306|2.398|218.999|AH3.5|2.015|184.034|2.398|218.999|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.23691|5.5|1.41831|1|EK-1.5||K21|6.92571|5.5|6.28924|5.5|EK21||K1.5|1.70394|1|2.93286|5.5|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/netherlands/wta-hertogenbosch/krunic-aleksandra-ponchet-jessika-23oHrLrp/#ah;2;1.50;1","1.5","1.52","2.6","","","1.49","2.6","1.52","2.6","","","","","","",""
"SV","0000005","20240610|162405","20240610_1522804_010791_014654","R04_2_NED_Libema Open - 's-Hertogenbosch","Krunic","Ponchet","|K|0.428011|EK|G||OL1|2.36106|EOL1|OL2|1.96|EOL2|OH1|234|EOH1|OH2|175|EOH2|EG|NA||NAOL1|2.55294|ENAOL1|NAOL2|1.96|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|8.328|9.933|1.254|1.496|AH-5|8.328|9.933|1.427|1.702|AH-4|4.611|5.499|1.561|1.861|AH-3.5|3.614|4.311|1.561|1.861|AH-3|3.614|4.311|1.634|1.949|AH-2.5|3.274|3.905|1.634|1.949|AH-2|3.274|3.905|1.706|2.034|AH-1.5|3.02|3.601|1.706|2.034||AH1.5|2.413|220.347|2.005|183.093|AH2|2.413|220.347|2.155|196.8|AH2.5|2.226|203.306|2.155|196.8|AH3|2.226|203.306|2.398|218.999|AH3.5|2.015|184.034|2.398|218.999|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.23691|5.5|1.41831|1|EK-1.5||K21|6.92571|5.5|6.28924|5.5|EK21||K1.5|1.70394|1|2.93286|5.5|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/netherlands/wta-hertogenbosch/krunic-aleksandra-ponchet-jessika-23oHrLrp/#ah;2;-1.50;1","-1.5","3.77","1.28","","","3.8","1.26","3.8","1.28","","","","","","",""
"SV","0000005","20240610|162352","20240610_1522804_010791_014654","R04_2_NED_Libema Open - 's-Hertogenbosch","Krunic","Ponchet","|K|0.428011|EK|G||OL1|2.36106|EOL1|OL2|1.96|EOL2|OH1|234|EOH1|OH2|175|EOH2|EG|NA||NAOL1|2.55294|ENAOL1|NAOL2|1.96|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA||AH-5.5|8.328|9.933|1.254|1.496|AH-5|8.328|9.933|1.427|1.702|AH-4|4.611|5.499|1.561|1.861|AH-3.5|3.614|4.311|1.561|1.861|AH-3|3.614|4.311|1.634|1.949|AH-2.5|3.274|3.905|1.634|1.949|AH-2|3.274|3.905|1.706|2.034|AH-1.5|3.02|3.601|1.706|2.034||AH1.5|2.413|220.347|2.005|183.093|AH2|2.413|220.347|2.155|196.8|AH2.5|2.226|203.306|2.155|196.8|AH3|2.226|203.306|2.398|218.999|AH3.5|2.015|184.034|2.398|218.999|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.23691|5.5|1.41831|1|EK-1.5||K21|6.92571|5.5|6.28924|5.5|EK21||K1.5|1.70394|1|2.93286|5.5|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/netherlands/wta-hertogenbosch/krunic-aleksandra-ponchet-jessika-23oHrLrp/","","2.24","1.67","","","2.25","1.65","2.25","1.68","","","","","","",""
"CSV","0000006","20240610|162423","20240610_1552104_069737_018454","R04_1_ESP_BBVA Open Internacional - Valencia","Salkova","Shymanovich","|K|0.603074|EK|G||OL1|1.7679|EOL1|OL2|2.583|EOL2|OH1|2.324|EOH1|OH2|3.3516|EOH2|EG|NA|NOT|ENA||AH-5.5|3.199|312.369|1.506|147.088|AH-5|3.199|312.369|1.796|175.344|AH-4|2.383|232.725|2.114|206.442|AH-3.5|1.986|193.948|2.114|206.442|AH-3|1.986|193.948|2.38|232.435|AH-2.5|1.797|175.509|2.38|232.435|AH-2|1.797|175.509|2.585|252.428|AH-1.5|1.696|165.605|2.585|252.428||AH1.5|1.556|149.15|3.165|303.459|AH2|1.556|149.15|3.391|325.144|AH2.5|1.506|144.416|3.391|325.144|AH3|1.506|144.416|3.667|351.548|AH3.5|1.458|139.754|3.667|351.548|AH4|1.458|139.754|4.419|423.698|AH4.5|1.365|130.893|4.419|423.698|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.02879|5.6|1.69421|5.6|EK-1.5||K21|6.22325|5.6|6.66743|5.6|EK21||K1.5|1.5|1|4.44166|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/valencia-challenger-women/salkova-dominika-shymanovich-iryna-tAl7gcEa/#ah;2;-1.50;2","-1.5","1.74","2.1","","","","","1.74","2.1","","","","","","",""
"CSV","0000006","20240610|162421","20240610_1552104_069737_018454","R04_1_ESP_BBVA Open Internacional - Valencia","Salkova","Shymanovich","|K|0.603074|EK|G||OL1|1.7679|EOL1|OL2|2.583|EOL2|OH1|2.324|EOH1|OH2|3.3516|EOH2|EG|NA|NOT|ENA||AH-5.5|3.199|312.369|1.506|147.088|AH-5|3.199|312.369|1.796|175.344|AH-4|2.383|232.725|2.114|206.442|AH-3.5|1.986|193.948|2.114|206.442|AH-3|1.986|193.948|2.38|232.435|AH-2.5|1.797|175.509|2.38|232.435|AH-2|1.797|175.509|2.585|252.428|AH-1.5|1.696|165.605|2.585|252.428||AH1.5|1.556|149.15|3.165|303.459|AH2|1.556|149.15|3.391|325.144|AH2.5|1.506|144.416|3.391|325.144|AH3|1.506|144.416|3.667|351.548|AH3.5|1.458|139.754|3.667|351.548|AH4|1.458|139.754|4.419|423.698|AH4.5|1.365|130.893|4.419|423.698|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.02879|5.6|1.69421|5.6|EK-1.5||K21|6.22325|5.6|6.66743|5.6|EK21||K1.5|1.5|1|4.44166|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/spain/valencia-challenger-women/salkova-dominika-shymanovich-iryna-tAl7gcEa/#ah;2;-2.50;2","-2.5","1.87","1.93","","","1.84","1.92","1.87","1.93","","","","","","",""
"CSV","0000006","20240610|162429","20240610_1552104_069737_018454","R04_1_ESP_BBVA Open Internacional - Valencia","Salkova","Shymanovich","|K|0.603074|EK|G||OL1|1.7679|EOL1|OL2|2.583|EOL2|OH1|2.324|EOH1|OH2|3.3516|EOH2|EG|NA|NOT|ENA||AH-5.5|3.199|312.369|1.506|147.088|AH-5|3.199|312.369|1.796|175.344|AH-4|2.383|232.725|2.114|206.442|AH-3.5|1.986|193.948|2.114|206.442|AH-3|1.986|193.948|2.38|232.435|AH-2.5|1.797|175.509|2.38|232.435|AH-2|1.797|175.509|2.585|252.428|AH-1.5|1.696|165.605|2.585|252.428||AH1.5|1.556|149.15|3.165|303.459|AH2|1.556|149.15|3.391|325.144|AH2.5|1.506|144.416|3.391|325.144|AH3|1.506|144.416|3.667|351.548|AH3.5|1.458|139.754|3.667|351.548|AH4|1.458|139.754|4.419|423.698|AH4.5|1.365|130.893|4.419|423.698|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.02879|5.6|1.69421|5.6|EK-1.5||K21|6.22325|5.6|6.66743|5.6|EK21||K1.5|1.5|1|4.44166|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/spain/valencia-challenger-women/salkova-dominika-shymanovich-iryna-tAl7gcEa/#ah;2;1.50;1","1.5","1.27","3.79","","","1.24","3.95","1.27","3.95","","","","","","",""
"CSV","0000006","20240610|162426","20240610_1552104_069737_018454","R04_1_ESP_BBVA Open Internacional - Valencia","Salkova","Shymanovich","|K|0.603074|EK|G||OL1|1.7679|EOL1|OL2|2.583|EOL2|OH1|2.324|EOH1|OH2|3.3516|EOH2|EG|NA|NOT|ENA||AH-5.5|3.199|312.369|1.506|147.088|AH-5|3.199|312.369|1.796|175.344|AH-4|2.383|232.725|2.114|206.442|AH-3.5|1.986|193.948|2.114|206.442|AH-3|1.986|193.948|2.38|232.435|AH-2.5|1.797|175.509|2.38|232.435|AH-2|1.797|175.509|2.585|252.428|AH-1.5|1.696|165.605|2.585|252.428||AH1.5|1.556|149.15|3.165|303.459|AH2|1.556|149.15|3.391|325.144|AH2.5|1.506|144.416|3.391|325.144|AH3|1.506|144.416|3.667|351.548|AH3.5|1.458|139.754|3.667|351.548|AH4|1.458|139.754|4.419|423.698|AH4.5|1.365|130.893|4.419|423.698|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.02879|5.6|1.69421|5.6|EK-1.5||K21|6.22325|5.6|6.66743|5.6|EK21||K1.5|1.5|1|4.44166|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/spain/valencia-challenger-women/salkova-dominika-shymanovich-iryna-tAl7gcEa/#ah;2;-1.50;1","-1.5","2.5","1.53","","","2.45","1.53","2.5","1.53","","","","","","",""
"CSV","0000006","20240610|162411","20240610_1552104_069737_018454","R04_1_ESP_BBVA Open Internacional - Valencia","Salkova","Shymanovich","|K|0.603074|EK|G||OL1|1.7679|EOL1|OL2|2.583|EOL2|OH1|2.324|EOH1|OH2|3.3516|EOH2|EG|NA|NOT|ENA||AH-5.5|3.199|312.369|1.506|147.088|AH-5|3.199|312.369|1.796|175.344|AH-4|2.383|232.725|2.114|206.442|AH-3.5|1.986|193.948|2.114|206.442|AH-3|1.986|193.948|2.38|232.435|AH-2.5|1.797|175.509|2.38|232.435|AH-2|1.797|175.509|2.585|252.428|AH-1.5|1.696|165.605|2.585|252.428||AH1.5|1.556|149.15|3.165|303.459|AH2|1.556|149.15|3.391|325.144|AH2.5|1.506|144.416|3.391|325.144|AH3|1.506|144.416|3.667|351.548|AH3.5|1.458|139.754|3.667|351.548|AH4|1.458|139.754|4.419|423.698|AH4.5|1.365|130.893|4.419|423.698|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.02879|5.6|1.69421|5.6|EK-1.5||K21|6.22325|5.6|6.66743|5.6|EK21||K1.5|1.5|1|4.44166|5.6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/spain/valencia-challenger-women/salkova-dominika-shymanovich-iryna-tAl7gcEa/","","1.6","2.34","","","1.6","2.33","1.62","2.35","","","","","","",""
